"z","y","x","ch"
17,600,452,3
5,1872,354,3
22,330,800,3
10,1414,1156,3
9,1558,1058,3
7,1770,454,3
21,438,1098,3
9,1870,222,3
13,1198,820,3
18,312,734,3
4,2026,830,3
19,230,1318,3
14,1150,872,3
20,532,1070,3
16,638,272,3
20,280,814,3
15,796,984,3
19,1162,926,3
9,1456,956,3
8,1588,822,3
7,1612,1268,3
8,1774,186,3
13,862,992,3
17,332,778,3
5,1762,1230,3
8,1844,448,3
14,886,866,3
11,1386,1004,3
18,262,1258,3
15,734,930,3
11,1180,754,3
5,1576,64,3
13,782,358,3
5,1858,68,3
5,1976,292,3
13,1382,880,3
20,300,926,3
11,1780,294,3
25,332,1034,3
14,638,548,3
14,1114,1076,3
22,528,904,3
18,1276,926,3
6,1874,432,3
12,1746,506,3
7,1860,462,3
6,1748,468,3
6,1868,390,3
17,1006,894,3
5,1894,422,3
9,1246,1136,3
6,1774,200,3
15,1294,994,3
9,1608,404,3
16,1102,996,3
7,1622,1018,3
18,316,1168,3
10,1346,880,3
26,560,806,3
5,1942,412,3
21,474,876,3
8,1496,1302,3
20,360,834,3
20,270,1254,3
9,1546,574,3
17,482,1046,3
12,1184,1090,3
10,1246,1032,3
22,444,730,3
13,1396,1016,3
29,468,858,3
18,330,730,3
14,1194,988,3
21,330,1046,3
6,1792,438,3
22,528,858,3
4,1924,380,3
23,354,930,3
10,1700,402,3
11,1490,954,3
13,1300,1040,3
12,1800,446,3
12,1808,252,3
14,836,1032,3
13,832,1038,3
16,300,1142,3
19,544,970,3
22,490,808,3
23,374,934,3
16,522,1106,3
8,1468,662,3
14,1152,832,3
10,1142,1168,3
12,1324,1020,3
11,1796,300,3
14,1142,1076,3
22,348,998,3
15,740,332,3
18,462,1162,3
16,520,1050,3
19,410,1020,3
18,578,770,3
20,618,884,3
18,676,986,3
15,940,946,3
19,288,1230,3
11,1462,992,3
8,1580,832,3
6,1794,212,3
14,876,858,3
9,1390,1194,3
5,1572,424,3
7,1736,58,3
25,448,864,3
15,800,1002,3
14,1080,798,3
18,338,832,3
11,1420,1162,3
11,1474,1020,3
17,232,1010,3
15,1302,924,3
9,1754,250,3
25,514,804,3
20,316,824,3
8,1606,1134,3
19,378,712,3
15,1104,848,3
8,1554,1088,3
18,424,940,3
12,1236,990,3
15,1144,818,3
20,512,734,3
9,1706,228,3
9,1486,1228,3
21,130,982,3
18,252,1304,3
11,1302,1006,3
23,354,858,3
7,1518,978,3
19,514,702,3
6,1772,224,3
12,988,948,3
4,2042,720,3
22,442,1012,3
16,668,1004,3
21,404,754,3
17,1138,828,3
27,486,940,3
22,330,846,3
14,1250,1026,3
